Date,Revenue,,,,,,,0,1154293,268520,
12-Oct,1154293,,,,,,,1,885773,1334477,1602997
12-Nov,885773,,,,,,,2,-448704,-1012383,590614
12-Dec,-448704,,,,,,,3,563679,8285,598899
13-Jan,563679,,,,,,,4,555394,-76580,522319
13-Feb,555394,,,,,,,5,631974,-325421,196898
13-Mar,631974,,,,,,,6,957395,-146652,50246
13-Apr,957395,,,,,,,7,1104047,410583,460829
13-May,1104047,,,,,,,8,693464,238532,699361
13-Jun,693464,,,,,,,9,454932,-272340,427021
13-Jul,454932,,,,,,,10,727272,602256,1029277
13-Aug,727272,,,,,,,11,125016,-214235,815042
13-Sep,125016,,,,,,,12,339251,260728,1075770
13-Oct,339251,,,,,,,13,78523,-898561,177209
13-Nov,78523,,,0,1154293,268520,,14,977084,-181634,-4425
13-Dec,977084,,,1,885773,1334477,,15,1158718,826037,821612
14-Jan,1158718,,,2,-448704,-1012383,,16,332681,673908,1495520
14-Feb,332681,,,,563679,590614,,17,-341227,-515053,980467
14-Mar,-341227,,,,,,,18,173826,-568785,411682
14-Apr,173826,,,,,,,19,742611,-447195,-35513
14-May,742611,,,,,,,20,1189806,582443,546930
14-Jun,1189806,,,,,,,21,607363,1779747,2326677
14-Jul,607363,,,,,,,22,-1172384,-1760377,566300
14-Aug,-1172384,,,,,,,23,587993,292795,859095
14-Sep,587993,,,,,,,24,295198,595588,1454683
14-Oct,295198,,,,,,,25,-300390,-769385,685298
14-Nov,-300390,,,,,,,26,468995,-229457,455841
14-Dec,468995,,,,,,,27,698452,-269376,186465
15-Jan,698452,,,,,,,28,967828,1422701,1609166
15-Feb,967828,,,,,,,29,-454873,-830596,778570
15-Mar,-454873,,,,,,,30,375723,-764803,13767
15-Apr,375723,,,,,,,31,1140526,1056690,1070457
15-May,1140526,,,,,,,32,83836,-329353,741104
15-Jun,83836,,,,,,,33,413189,-138174,602930
15-Jul,413189,,,,,,,34,551363,-643748,-40818
15-Aug,551363,,,,,,,35,1195111,538030,497212
15-Sep,1195111,,,,,,,36,657081,590422,1087634
15-Oct,657081,,,,,,,37,66659,-736642,350992
15-Nov,66659,,,,,,,38,803301,1756602,2107594
15-Dec,803301,,,,,,,39,-953301,-1837235,270359
16-Jan,-953301,,,,,,,40,883934,,
16-Feb,883934,,,,,,,,,,
,18971412,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,270359,
